targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
1747,1748,1784;1783;1786;1848;1851;1852;1850;1847;1849,2065806;43161367;2065730;1831981;35130845;45777059;40721064;2908784;41090378;36057246;41039026;40976604;35765757;2012924;43013032;43148648;21051084;41274931;21026788;1831978;2065732;1831986;36057241;36507155;21168986;1831983;44170690;41262454;41257674;41226849;2908780;1758729;2065768;2065776;43013034;21036566;2908775;41271043;36037005;40888233;41101759;2065729;40241337;43192707;43192703;43137703;2065800;2065781;41257670;36509969;40244443;40244445;43013030;36265872;41058806;2908783;2908771;41070324;36074022;35750881;44178220;2065742;36067077;40950369;35742521;40852099;41164445;21109985;41262455;36037010;2065832;2065775;2065831;2065765;2065843;21124738;36241104;43013029;43148654;2065745;43203772;41005948;41320135;36782242;2065787;41257680;2065731;41293666;21031386;43137706;1972566;44174453;44175474;41226845;43214606;21134663;2065828;41119102;41318035;41195798;41101754;41257675;21119736;41257678;41101755;2065809;41106708;41070321;40914281;44160413;2065836;2065821;40900439;36782245;2065395;43269558;2908766;40852096;35771889;40914285;36067065;2065761;36504950;35770083;41195795;2065792;21056199;41101756;2908767;44072729;2065797;40244448;43139239;41320136;41039025;36067063;40823818;36506548;41195794;40976605;42876257;44160414;36057245;40945663;2065835;41083972;21168985;36246295;40241331;2065762;2908770;43161368;41231714;41007934;21041270;36507519;21144551;41101762;40945662;2065805;41240173;2065818;702555;2065741;793646;2930364;40974550;43159840;41090375;36782246;2065803;2065738;41039023;43170741;36783418;41271042;2065788;43013026;41090377;43275012;40976606;43159842;2065740;43181740;36037011;2065751;43013028;2065673;2065850;2065795;43013031;2930362;41257671;44166953;41288739;41070316;44178219;21075971;2065834;43148647;21095458;43291279;40838273;40244447;1831984;43013033;40241334;35771499;44167990;40883369;41164448;40919167;41195791;36067057;2065773;43192702;40241332;40852094;40883363;36276630;41101763;21119737;40883364;40823769;21021650;21124737;21095457;41070322;2065785;40945657;36067081;41257681;2065736;40950370;40945658;41288737;36067076;43161366;2065819;35849651;35200878;36782244;43172321;36067085;2065763;21174069;2065757;40976597;40976602;36507672;41288741;41257672;36067068;2065576;2065845;2930366;2065808;35155928;43285795;21144550;41138123;2065755;41101764;36057242;2065817;36067064;2065774;43258558;43203771;36227607;2065799;36067058;41007935;40883370;43148655;41075266;21154476;41007932;35749175;2065789;41070323;2065824;43013024;21159173;40883366;36505938;1830313;41164449;41101765;41070318;36037008;2065770;2012927;2065840;2065852;2908772;43148652;2012925;2065519;2065758;44075170;2908782;2065796;21090247;41257679;41012773;2065759;2012923;41007931;2908778;36057239;41288744;43216129;35133485;2065748;21021651;2930363;1972567;40976599;36505664;36074021;36510067;41320137;2065772;2065842;2908785;40703287;21139398;36263316;43159839;41195796;36067082;2065782;40976598;40919168;1831979;2065769;2065779;1831985;1758731;43137702;35762468;1758728;43013027;43137705;43148651;43148653;40914283;41288740;21105312;36067078;1972565;41288742;41101760;35759228;43205225;40914287;41231717;2065833;2908786;43205224;1758730;2065737;44160412;2065749;36067074;36037009;41101761;40856898;2065753;2065822;2065830;40244450;2065847;43139237;43139238;21164292;21056203;2908773;36783417;41262456;21154474;41226847;36508370;2065820;35849654;43203773;36419363;21070835;2065801;2065812;21075970;40883367;41101766;41070317;21154473;2065839;36783421;41025112;2930365;43192701;40912348;43192704;41224699;41255664;41215487;2065807;36057240;41257673;42876256;1831988;40721063;36067080;2012928;41021176;1758727;41058807;36419362;43194262;43214608;40914282;40883368;40914284;21056201;40914286;36067079;2065771;2065764;35849653;40990186;35200877;36246293;2065760;2065793;40852092;36037006;41195797;44179241;41288738;36037004;2062518;2065826;40721065;35129294;40241336;2065756;43150163;41133090;43137704;2065746;36067073;2065802;40241335;2065837;43192706;21056200;45777060;40702946;42876255;40976607;41039027;40883362;41257676;36262346;43203774;41146758;2065754;21085688;21119735;21026789;40883365;2065813;36067084;40945661;41195792;21085687;36057238;44179240;36067060;21036567;44092632;2065841;41302141;35200880;792336;43192705;41164450;35757517;40883371;40852098;2065725;41195793;40852093;36067067;2065811;2065853;42876254;40927671;43137701;40702945;44174452;36067061;41320139;41106709;41101753;36067066;36067071;36783419;2065766;2065767;2065778;2065777;40244446;43285911;2065814;40241333;43148656;21026787;41215488;40919169;44179239;41181668;43161365;21021649;2908777;43296671;2065790;2065815;2908779;40976601;21124739;1972564;36067070;43172319;36246294;43172320;36067062;40852097;2065733;41039024;2065744;1830312;2012926;21115139;36067075;35849652;2930369;44065584;1831982;41162423;41101757;35755111;41164444;36057243;2908776;40945660;2065726;41138122;41231715;21115140;1758726;2065791;35144287;36783420;43181739;2908769;1970568;43216131;2065723;43194263;2065739;41090376;2930368;21159172;36782243;43159841;36503995;36067072;43275011;2930367;35762469;43013025;43148646;36227606;1831987;2065816;43181738;702551;41184180;2908768;41195799;2908774;41070320;43214605;35200879;40244449;21085690;41164447;40945659;41320138;2065794;40852100;40703288;36067056;41101758;2065849;21046436;43216130;40703286;40945656;41007933;40852095;43205226;43183268;2065728;35774342;2065780;43183267;43170742;21066037;36246296;44122941;43148649;2065747;36261069;21100177;40852091;41231716;36257285;2065735;41288736;35885598;41288743;41226848;2065827;2065851;2065846;21056202;36241103;2065752;36783370;2065783;35761678;40976596;2065734;41101767;2065798;40856899;40950371;21154475;784034;41288735;36067083;2065823;2065829;41274932;40931536;2065784;2065727;2065810;2065804;2065786;43148650;41005949;41133089;41257677;21119734;35755112;2065838;2908781;2065750;2065743;2012922;40244444;35763063;36067069;41101752;35885599;41226844;35771890;40976600;40702947;40976603;2065825;35149922;2065848,
1788,1789,1784;1783;1786;1848;1851;1852;1850;1847;1849,2065806;43161367;2065730;1831981;35130845;45777059;40721064;2908784;41090378;36057246;41039026;40976604;35765757;2012924;43013032;43148648;21051084;41274931;21026788;1831978;2065732;1831986;36057241;36507155;21168986;1831983;44170690;41262454;41257674;41226849;2908780;1758729;2065768;2065776;43013034;21036566;2908775;41271043;36037005;40888233;41101759;2065729;40241337;43192707;43192703;43137703;2065800;2065781;41257670;36509969;40244443;40244445;43013030;36265872;41058806;2908783;2908771;41070324;36074022;35750881;44178220;2065742;36067077;40950369;35742521;40852099;41164445;21109985;41262455;36037010;2065832;2065775;2065831;2065765;2065843;21124738;36241104;43013029;43148654;2065745;43203772;41005948;41320135;36782242;2065787;41257680;2065731;41293666;21031386;43137706;1972566;44174453;44175474;41226845;43214606;21134663;2065828;41119102;41318035;41195798;41101754;41257675;21119736;41257678;41101755;2065809;41106708;41070321;40914281;44160413;2065836;2065821;40900439;36782245;2065395;43269558;2908766;40852096;35771889;40914285;36067065;2065761;36504950;35770083;41195795;2065792;21056199;41101756;2908767;44072729;2065797;40244448;43139239;41320136;41039025;36067063;40823818;36506548;41195794;40976605;42876257;44160414;36057245;40945663;2065835;41083972;21168985;36246295;40241331;2065762;2908770;43161368;41231714;41007934;21041270;36507519;21144551;41101762;40945662;2065805;41240173;2065818;702555;2065741;793646;2930364;40974550;43159840;41090375;36782246;2065803;2065738;41039023;43170741;36783418;41271042;2065788;43013026;41090377;43275012;40976606;43159842;2065740;43181740;36037011;2065751;43013028;2065673;2065850;2065795;43013031;2930362;41257671;44166953;41288739;41070316;44178219;21075971;2065834;43148647;21095458;43291279;40838273;40244447;1831984;43013033;40241334;35771499;44167990;40883369;41164448;40919167;41195791;36067057;2065773;43192702;40241332;40852094;40883363;36276630;41101763;21119737;40883364;40823769;21021650;21124737;21095457;41070322;2065785;40945657;36067081;41257681;2065736;40950370;40945658;41288737;36067076;43161366;2065819;35849651;35200878;36782244;43172321;36067085;2065763;21174069;2065757;40976597;40976602;36507672;41288741;41257672;36067068;2065576;2065845;2930366;2065808;35155928;43285795;21144550;41138123;2065755;41101764;36057242;2065817;36067064;2065774;43258558;43203771;36227607;2065799;36067058;41007935;40883370;43148655;41075266;21154476;41007932;35749175;2065789;41070323;2065824;43013024;21159173;40883366;36505938;1830313;41164449;41101765;41070318;36037008;2065770;2012927;2065840;2065852;2908772;43148652;2012925;2065519;2065758;44075170;2908782;2065796;21090247;41257679;41012773;2065759;2012923;41007931;2908778;36057239;41288744;43216129;35133485;2065748;21021651;2930363;1972567;40976599;36505664;36074021;36510067;41320137;2065772;2065842;2908785;40703287;21139398;36263316;43159839;41195796;36067082;2065782;40976598;40919168;1831979;2065769;2065779;1831985;1758731;43137702;35762468;1758728;43013027;43137705;43148651;43148653;40914283;41288740;21105312;36067078;1972565;41288742;41101760;35759228;43205225;40914287;41231717;2065833;2908786;43205224;1758730;2065737;44160412;2065749;36067074;36037009;41101761;40856898;2065753;2065822;2065830;40244450;2065847;43139237;43139238;21164292;21056203;2908773;36783417;41262456;21154474;41226847;36508370;2065820;35849654;43203773;36419363;21070835;2065801;2065812;21075970;40883367;41101766;41070317;21154473;2065839;36783421;41025112;2930365;43192701;40912348;43192704;41224699;41255664;41215487;2065807;36057240;41257673;42876256;1831988;40721063;36067080;2012928;41021176;1758727;41058807;36419362;43194262;43214608;40914282;40883368;40914284;21056201;40914286;36067079;2065771;2065764;35849653;40990186;35200877;36246293;2065760;2065793;40852092;36037006;41195797;44179241;41288738;36037004;2062518;2065826;40721065;35129294;40241336;2065756;43150163;41133090;43137704;2065746;36067073;2065802;40241335;2065837;43192706;21056200;45777060;40702946;42876255;40976607;41039027;40883362;41257676;36262346;43203774;41146758;2065754;21085688;21119735;21026789;40883365;2065813;36067084;40945661;41195792;21085687;36057238;44179240;36067060;21036567;44092632;2065841;41302141;35200880;792336;43192705;41164450;35757517;40883371;40852098;2065725;41195793;40852093;36067067;2065811;2065853;42876254;40927671;43137701;40702945;44174452;36067061;41320139;41106709;41101753;36067066;36067071;36783419;2065766;2065767;2065778;2065777;40244446;43285911;2065814;40241333;43148656;21026787;41215488;40919169;44179239;41181668;43161365;21021649;2908777;43296671;2065790;2065815;2908779;40976601;21124739;1972564;36067070;43172319;36246294;43172320;36067062;40852097;2065733;41039024;2065744;1830312;2012926;21115139;36067075;35849652;2930369;44065584;1831982;41162423;41101757;35755111;41164444;36057243;2908776;40945660;2065726;41138122;41231715;21115140;1758726;2065791;35144287;36783420;43181739;2908769;1970568;43216131;2065723;43194263;2065739;41090376;2930368;21159172;36782243;43159841;36503995;36067072;43275011;2930367;35762469;43013025;43148646;36227606;1831987;2065816;43181738;702551;41184180;2908768;41195799;2908774;41070320;43214605;35200879;40244449;21085690;41164447;40945659;41320138;2065794;40852100;40703288;36067056;41101758;2065849;21046436;43216130;40703286;40945656;41007933;40852095;43205226;43183268;2065728;35774342;2065780;43183267;43170742;21066037;36246296;44122941;43148649;2065747;36261069;21100177;40852091;41231716;36257285;2065735;41288736;35885598;41288743;41226848;2065827;2065851;2065846;21056202;36241103;2065752;36783370;2065783;35761678;40976596;2065734;41101767;2065798;40856899;40950371;21154475;784034;41288735;36067083;2065823;2065829;41274932;40931536;2065784;2065727;2065810;2065804;2065786;43148650;41005949;41133089;41257677;21119734;35755112;2065838;2908781;2065750;2065743;2012922;40244444;35763063;36067069;41101752;35885599;41226844;35771890;40976600;40702947;40976603;2065825;35149922;2065848,
1790,1791,1784;1783;1786;1848;1851;1852;1850;1847;1849,2065806;43161367;2065730;1831981;35130845;45777059;40721064;2908784;41090378;36057246;41039026;40976604;35765757;2012924;43013032;43148648;21051084;41274931;21026788;1831978;2065732;1831986;36057241;36507155;21168986;1831983;44170690;41262454;41257674;41226849;2908780;1758729;2065768;2065776;43013034;21036566;2908775;41271043;36037005;40888233;41101759;2065729;40241337;43192707;43192703;43137703;2065800;2065781;41257670;36509969;40244443;40244445;43013030;36265872;41058806;2908783;2908771;41070324;36074022;35750881;44178220;2065742;36067077;40950369;35742521;40852099;41164445;21109985;41262455;36037010;2065832;2065775;2065831;2065765;2065843;21124738;36241104;43013029;43148654;2065745;43203772;41005948;41320135;36782242;2065787;41257680;2065731;41293666;21031386;43137706;1972566;44174453;44175474;41226845;43214606;21134663;2065828;41119102;41318035;41195798;41101754;41257675;21119736;41257678;41101755;2065809;41106708;41070321;40914281;44160413;2065836;2065821;40900439;36782245;2065395;43269558;2908766;40852096;35771889;40914285;36067065;2065761;36504950;35770083;41195795;2065792;21056199;41101756;2908767;44072729;2065797;40244448;43139239;41320136;41039025;36067063;40823818;36506548;41195794;40976605;42876257;44160414;36057245;40945663;2065835;41083972;21168985;36246295;40241331;2065762;2908770;43161368;41231714;41007934;21041270;36507519;21144551;41101762;40945662;2065805;41240173;2065818;702555;2065741;793646;2930364;40974550;43159840;41090375;36782246;2065803;2065738;41039023;43170741;36783418;41271042;2065788;43013026;41090377;43275012;40976606;43159842;2065740;43181740;36037011;2065751;43013028;2065673;2065850;2065795;43013031;2930362;41257671;44166953;41288739;41070316;44178219;21075971;2065834;43148647;21095458;43291279;40838273;40244447;1831984;43013033;40241334;35771499;44167990;40883369;41164448;40919167;41195791;36067057;2065773;43192702;40241332;40852094;40883363;36276630;41101763;21119737;40883364;40823769;21021650;21124737;21095457;41070322;2065785;40945657;36067081;41257681;2065736;40950370;40945658;41288737;36067076;43161366;2065819;35849651;35200878;36782244;43172321;36067085;2065763;21174069;2065757;40976597;40976602;36507672;41288741;41257672;36067068;2065576;2065845;2930366;2065808;35155928;43285795;21144550;41138123;2065755;41101764;36057242;2065817;36067064;2065774;43258558;43203771;36227607;2065799;36067058;41007935;40883370;43148655;41075266;21154476;41007932;35749175;2065789;41070323;2065824;43013024;21159173;40883366;36505938;1830313;41164449;41101765;41070318;36037008;2065770;2012927;2065840;2065852;2908772;43148652;2012925;2065519;2065758;44075170;2908782;2065796;21090247;41257679;41012773;2065759;2012923;41007931;2908778;36057239;41288744;43216129;35133485;2065748;21021651;2930363;1972567;40976599;36505664;36074021;36510067;41320137;2065772;2065842;2908785;40703287;21139398;36263316;43159839;41195796;36067082;2065782;40976598;40919168;1831979;2065769;2065779;1831985;1758731;43137702;35762468;1758728;43013027;43137705;43148651;43148653;40914283;41288740;21105312;36067078;1972565;41288742;41101760;35759228;43205225;40914287;41231717;2065833;2908786;43205224;1758730;2065737;44160412;2065749;36067074;36037009;41101761;40856898;2065753;2065822;2065830;40244450;2065847;43139237;43139238;21164292;21056203;2908773;36783417;41262456;21154474;41226847;36508370;2065820;35849654;43203773;36419363;21070835;2065801;2065812;21075970;40883367;41101766;41070317;21154473;2065839;36783421;41025112;2930365;43192701;40912348;43192704;41224699;41255664;41215487;2065807;36057240;41257673;42876256;1831988;40721063;36067080;2012928;41021176;1758727;41058807;36419362;43194262;43214608;40914282;40883368;40914284;21056201;40914286;36067079;2065771;2065764;35849653;40990186;35200877;36246293;2065760;2065793;40852092;36037006;41195797;44179241;41288738;36037004;2062518;2065826;40721065;35129294;40241336;2065756;43150163;41133090;43137704;2065746;36067073;2065802;40241335;2065837;43192706;21056200;45777060;40702946;42876255;40976607;41039027;40883362;41257676;36262346;43203774;41146758;2065754;21085688;21119735;21026789;40883365;2065813;36067084;40945661;41195792;21085687;36057238;44179240;36067060;21036567;44092632;2065841;41302141;35200880;792336;43192705;41164450;35757517;40883371;40852098;2065725;41195793;40852093;36067067;2065811;2065853;42876254;40927671;43137701;40702945;44174452;36067061;41320139;41106709;41101753;36067066;36067071;36783419;2065766;2065767;2065778;2065777;40244446;43285911;2065814;40241333;43148656;21026787;41215488;40919169;44179239;41181668;43161365;21021649;2908777;43296671;2065790;2065815;2908779;40976601;21124739;1972564;36067070;43172319;36246294;43172320;36067062;40852097;2065733;41039024;2065744;1830312;2012926;21115139;36067075;35849652;2930369;44065584;1831982;41162423;41101757;35755111;41164444;36057243;2908776;40945660;2065726;41138122;41231715;21115140;1758726;2065791;35144287;36783420;43181739;2908769;1970568;43216131;2065723;43194263;2065739;41090376;2930368;21159172;36782243;43159841;36503995;36067072;43275011;2930367;35762469;43013025;43148646;36227606;1831987;2065816;43181738;702551;41184180;2908768;41195799;2908774;41070320;43214605;35200879;40244449;21085690;41164447;40945659;41320138;2065794;40852100;40703288;36067056;41101758;2065849;21046436;43216130;40703286;40945656;41007933;40852095;43205226;43183268;2065728;35774342;2065780;43183267;43170742;21066037;36246296;44122941;43148649;2065747;36261069;21100177;40852091;41231716;36257285;2065735;41288736;35885598;41288743;41226848;2065827;2065851;2065846;21056202;36241103;2065752;36783370;2065783;35761678;40976596;2065734;41101767;2065798;40856899;40950371;21154475;784034;41288735;36067083;2065823;2065829;41274932;40931536;2065784;2065727;2065810;2065804;2065786;43148650;41005949;41133089;41257677;21119734;35755112;2065838;2908781;2065750;2065743;2012922;40244444;35763063;36067069;41101752;35885599;41226844;35771890;40976600;40702947;40976603;2065825;35149922;2065848,
1792,1793,1784;1783;1786;1848;1851;1852;1850;1847;1849,2065806;43161367;2065730;1831981;35130845;45777059;40721064;2908784;41090378;36057246;41039026;40976604;35765757;2012924;43013032;43148648;21051084;41274931;21026788;1831978;2065732;1831986;36057241;36507155;21168986;1831983;44170690;41262454;41257674;41226849;2908780;1758729;2065768;2065776;43013034;21036566;2908775;41271043;36037005;40888233;41101759;2065729;40241337;43192707;43192703;43137703;2065800;2065781;41257670;36509969;40244443;40244445;43013030;36265872;41058806;2908783;2908771;41070324;36074022;35750881;44178220;2065742;36067077;40950369;35742521;40852099;41164445;21109985;41262455;36037010;2065832;2065775;2065831;2065765;2065843;21124738;36241104;43013029;43148654;2065745;43203772;41005948;41320135;36782242;2065787;41257680;2065731;41293666;21031386;43137706;1972566;44174453;44175474;41226845;43214606;21134663;2065828;41119102;41318035;41195798;41101754;41257675;21119736;41257678;41101755;2065809;41106708;41070321;40914281;44160413;2065836;2065821;40900439;36782245;2065395;43269558;2908766;40852096;35771889;40914285;36067065;2065761;36504950;35770083;41195795;2065792;21056199;41101756;2908767;44072729;2065797;40244448;43139239;41320136;41039025;36067063;40823818;36506548;41195794;40976605;42876257;44160414;36057245;40945663;2065835;41083972;21168985;36246295;40241331;2065762;2908770;43161368;41231714;41007934;21041270;36507519;21144551;41101762;40945662;2065805;41240173;2065818;702555;2065741;793646;2930364;40974550;43159840;41090375;36782246;2065803;2065738;41039023;43170741;36783418;41271042;2065788;43013026;41090377;43275012;40976606;43159842;2065740;43181740;36037011;2065751;43013028;2065673;2065850;2065795;43013031;2930362;41257671;44166953;41288739;41070316;44178219;21075971;2065834;43148647;21095458;43291279;40838273;40244447;1831984;43013033;40241334;35771499;44167990;40883369;41164448;40919167;41195791;36067057;2065773;43192702;40241332;40852094;40883363;36276630;41101763;21119737;40883364;40823769;21021650;21124737;21095457;41070322;2065785;40945657;36067081;41257681;2065736;40950370;40945658;41288737;36067076;43161366;2065819;35849651;35200878;36782244;43172321;36067085;2065763;21174069;2065757;40976597;40976602;36507672;41288741;41257672;36067068;2065576;2065845;2930366;2065808;35155928;43285795;21144550;41138123;2065755;41101764;36057242;2065817;36067064;2065774;43258558;43203771;36227607;2065799;36067058;41007935;40883370;43148655;41075266;21154476;41007932;35749175;2065789;41070323;2065824;43013024;21159173;40883366;36505938;1830313;41164449;41101765;41070318;36037008;2065770;2012927;2065840;2065852;2908772;43148652;2012925;2065519;2065758;44075170;2908782;2065796;21090247;41257679;41012773;2065759;2012923;41007931;2908778;36057239;41288744;43216129;35133485;2065748;21021651;2930363;1972567;40976599;36505664;36074021;36510067;41320137;2065772;2065842;2908785;40703287;21139398;36263316;43159839;41195796;36067082;2065782;40976598;40919168;1831979;2065769;2065779;1831985;1758731;43137702;35762468;1758728;43013027;43137705;43148651;43148653;40914283;41288740;21105312;36067078;1972565;41288742;41101760;35759228;43205225;40914287;41231717;2065833;2908786;43205224;1758730;2065737;44160412;2065749;36067074;36037009;41101761;40856898;2065753;2065822;2065830;40244450;2065847;43139237;43139238;21164292;21056203;2908773;36783417;41262456;21154474;41226847;36508370;2065820;35849654;43203773;36419363;21070835;2065801;2065812;21075970;40883367;41101766;41070317;21154473;2065839;36783421;41025112;2930365;43192701;40912348;43192704;41224699;41255664;41215487;2065807;36057240;41257673;42876256;1831988;40721063;36067080;2012928;41021176;1758727;41058807;36419362;43194262;43214608;40914282;40883368;40914284;21056201;40914286;36067079;2065771;2065764;35849653;40990186;35200877;36246293;2065760;2065793;40852092;36037006;41195797;44179241;41288738;36037004;2062518;2065826;40721065;35129294;40241336;2065756;43150163;41133090;43137704;2065746;36067073;2065802;40241335;2065837;43192706;21056200;45777060;40702946;42876255;40976607;41039027;40883362;41257676;36262346;43203774;41146758;2065754;21085688;21119735;21026789;40883365;2065813;36067084;40945661;41195792;21085687;36057238;44179240;36067060;21036567;44092632;2065841;41302141;35200880;792336;43192705;41164450;35757517;40883371;40852098;2065725;41195793;40852093;36067067;2065811;2065853;42876254;40927671;43137701;40702945;44174452;36067061;41320139;41106709;41101753;36067066;36067071;36783419;2065766;2065767;2065778;2065777;40244446;43285911;2065814;40241333;43148656;21026787;41215488;40919169;44179239;41181668;43161365;21021649;2908777;43296671;2065790;2065815;2908779;40976601;21124739;1972564;36067070;43172319;36246294;43172320;36067062;40852097;2065733;41039024;2065744;1830312;2012926;21115139;36067075;35849652;2930369;44065584;1831982;41162423;41101757;35755111;41164444;36057243;2908776;40945660;2065726;41138122;41231715;21115140;1758726;2065791;35144287;36783420;43181739;2908769;1970568;43216131;2065723;43194263;2065739;41090376;2930368;21159172;36782243;43159841;36503995;36067072;43275011;2930367;35762469;43013025;43148646;36227606;1831987;2065816;43181738;702551;41184180;2908768;41195799;2908774;41070320;43214605;35200879;40244449;21085690;41164447;40945659;41320138;2065794;40852100;40703288;36067056;41101758;2065849;21046436;43216130;40703286;40945656;41007933;40852095;43205226;43183268;2065728;35774342;2065780;43183267;43170742;21066037;36246296;44122941;43148649;2065747;36261069;21100177;40852091;41231716;36257285;2065735;41288736;35885598;41288743;41226848;2065827;2065851;2065846;21056202;36241103;2065752;36783370;2065783;35761678;40976596;2065734;41101767;2065798;40856899;40950371;21154475;784034;41288735;36067083;2065823;2065829;41274932;40931536;2065784;2065727;2065810;2065804;2065786;43148650;41005949;41133089;41257677;21119734;35755112;2065838;2908781;2065750;2065743;2012922;40244444;35763063;36067069;41101752;35885599;41226844;35771890;40976600;40702947;40976603;2065825;35149922;2065848,
1794,1795,1784;1783;1786;1848;1851;1852;1850;1847;1849,2065806;43161367;2065730;1831981;35130845;45777059;40721064;2908784;41090378;36057246;41039026;40976604;35765757;2012924;43013032;43148648;21051084;41274931;21026788;1831978;2065732;1831986;36057241;36507155;21168986;1831983;44170690;41262454;41257674;41226849;2908780;1758729;2065768;2065776;43013034;21036566;2908775;41271043;36037005;40888233;41101759;2065729;40241337;43192707;43192703;43137703;2065800;2065781;41257670;36509969;40244443;40244445;43013030;36265872;41058806;2908783;2908771;41070324;36074022;35750881;44178220;2065742;36067077;40950369;35742521;40852099;41164445;21109985;41262455;36037010;2065832;2065775;2065831;2065765;2065843;21124738;36241104;43013029;43148654;2065745;43203772;41005948;41320135;36782242;2065787;41257680;2065731;41293666;21031386;43137706;1972566;44174453;44175474;41226845;43214606;21134663;2065828;41119102;41318035;41195798;41101754;41257675;21119736;41257678;41101755;2065809;41106708;41070321;40914281;44160413;2065836;2065821;40900439;36782245;2065395;43269558;2908766;40852096;35771889;40914285;36067065;2065761;36504950;35770083;41195795;2065792;21056199;41101756;2908767;44072729;2065797;40244448;43139239;41320136;41039025;36067063;40823818;36506548;41195794;40976605;42876257;44160414;36057245;40945663;2065835;41083972;21168985;36246295;40241331;2065762;2908770;43161368;41231714;41007934;21041270;36507519;21144551;41101762;40945662;2065805;41240173;2065818;702555;2065741;793646;2930364;40974550;43159840;41090375;36782246;2065803;2065738;41039023;43170741;36783418;41271042;2065788;43013026;41090377;43275012;40976606;43159842;2065740;43181740;36037011;2065751;43013028;2065673;2065850;2065795;43013031;2930362;41257671;44166953;41288739;41070316;44178219;21075971;2065834;43148647;21095458;43291279;40838273;40244447;1831984;43013033;40241334;35771499;44167990;40883369;41164448;40919167;41195791;36067057;2065773;43192702;40241332;40852094;40883363;36276630;41101763;21119737;40883364;40823769;21021650;21124737;21095457;41070322;2065785;40945657;36067081;41257681;2065736;40950370;40945658;41288737;36067076;43161366;2065819;35849651;35200878;36782244;43172321;36067085;2065763;21174069;2065757;40976597;40976602;36507672;41288741;41257672;36067068;2065576;2065845;2930366;2065808;35155928;43285795;21144550;41138123;2065755;41101764;36057242;2065817;36067064;2065774;43258558;43203771;36227607;2065799;36067058;41007935;40883370;43148655;41075266;21154476;41007932;35749175;2065789;41070323;2065824;43013024;21159173;40883366;36505938;1830313;41164449;41101765;41070318;36037008;2065770;2012927;2065840;2065852;2908772;43148652;2012925;2065519;2065758;44075170;2908782;2065796;21090247;41257679;41012773;2065759;2012923;41007931;2908778;36057239;41288744;43216129;35133485;2065748;21021651;2930363;1972567;40976599;36505664;36074021;36510067;41320137;2065772;2065842;2908785;40703287;21139398;36263316;43159839;41195796;36067082;2065782;40976598;40919168;1831979;2065769;2065779;1831985;1758731;43137702;35762468;1758728;43013027;43137705;43148651;43148653;40914283;41288740;21105312;36067078;1972565;41288742;41101760;35759228;43205225;40914287;41231717;2065833;2908786;43205224;1758730;2065737;44160412;2065749;36067074;36037009;41101761;40856898;2065753;2065822;2065830;40244450;2065847;43139237;43139238;21164292;21056203;2908773;36783417;41262456;21154474;41226847;36508370;2065820;35849654;43203773;36419363;21070835;2065801;2065812;21075970;40883367;41101766;41070317;21154473;2065839;36783421;41025112;2930365;43192701;40912348;43192704;41224699;41255664;41215487;2065807;36057240;41257673;42876256;1831988;40721063;36067080;2012928;41021176;1758727;41058807;36419362;43194262;43214608;40914282;40883368;40914284;21056201;40914286;36067079;2065771;2065764;35849653;40990186;35200877;36246293;2065760;2065793;40852092;36037006;41195797;44179241;41288738;36037004;2062518;2065826;40721065;35129294;40241336;2065756;43150163;41133090;43137704;2065746;36067073;2065802;40241335;2065837;43192706;21056200;45777060;40702946;42876255;40976607;41039027;40883362;41257676;36262346;43203774;41146758;2065754;21085688;21119735;21026789;40883365;2065813;36067084;40945661;41195792;21085687;36057238;44179240;36067060;21036567;44092632;2065841;41302141;35200880;792336;43192705;41164450;35757517;40883371;40852098;2065725;41195793;40852093;36067067;2065811;2065853;42876254;40927671;43137701;40702945;44174452;36067061;41320139;41106709;41101753;36067066;36067071;36783419;2065766;2065767;2065778;2065777;40244446;43285911;2065814;40241333;43148656;21026787;41215488;40919169;44179239;41181668;43161365;21021649;2908777;43296671;2065790;2065815;2908779;40976601;21124739;1972564;36067070;43172319;36246294;43172320;36067062;40852097;2065733;41039024;2065744;1830312;2012926;21115139;36067075;35849652;2930369;44065584;1831982;41162423;41101757;35755111;41164444;36057243;2908776;40945660;2065726;41138122;41231715;21115140;1758726;2065791;35144287;36783420;43181739;2908769;1970568;43216131;2065723;43194263;2065739;41090376;2930368;21159172;36782243;43159841;36503995;36067072;43275011;2930367;35762469;43013025;43148646;36227606;1831987;2065816;43181738;702551;41184180;2908768;41195799;2908774;41070320;43214605;35200879;40244449;21085690;41164447;40945659;41320138;2065794;40852100;40703288;36067056;41101758;2065849;21046436;43216130;40703286;40945656;41007933;40852095;43205226;43183268;2065728;35774342;2065780;43183267;43170742;21066037;36246296;44122941;43148649;2065747;36261069;21100177;40852091;41231716;36257285;2065735;41288736;35885598;41288743;41226848;2065827;2065851;2065846;21056202;36241103;2065752;36783370;2065783;35761678;40976596;2065734;41101767;2065798;40856899;40950371;21154475;784034;41288735;36067083;2065823;2065829;41274932;40931536;2065784;2065727;2065810;2065804;2065786;43148650;41005949;41133089;41257677;21119734;35755112;2065838;2908781;2065750;2065743;2012922;40244444;35763063;36067069;41101752;35885599;41226844;35771890;40976600;40702947;40976603;2065825;35149922;2065848,
