"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
1,7,"synpuf",44866107,39,39
1,7,"synpuf",44900351,34,34
1,7,"synpuf",44917408,40,40
1,7,"synpuf",44971219,37,37
1,7,"synpuf",45036367,43,43
1,7,"synpuf",45036368,38,38
1,7,"synpuf",45036369,41,41
1,7,"synpuf",45052013,36,36
1,7,"synpuf",45053417,42,42
1,7,"synpuf",45070545,38,38
1,7,"synpuf",45073666,46,46
1,7,"synpuf",45078936,47,47
1,7,"synpuf",45085999,26,26
1,7,"synpuf",45095873,36,36
1,7,"synpuf",45121450,39,39
1,7,"synpuf",45155488,48,48
1,7,"synpuf",45158528,32,32
1,7,"synpuf",45222510,43,43
1,7,"synpuf",45241030,54,54
1,7,"synpuf",45241031,33,33
1,7,"synpuf",45241032,46,46
1,7,"synpuf",45261285,43,43
1,7,"synpuf",45292403,45,45
1,7,"synpuf",45309357,31,31
1,7,"synpuf",45312538,42,42
1,7,"synpuf",45326374,48,48
1,7,"synpuf",45343337,34,34
1,7,"synpuf",45360543,43,43
1,9,"synpuf",443563,1684,1348
1,9,"synpuf",2107214,505,404
1,9,"synpuf",2107835,7,7
1,9,"synpuf",40481132,239,236
1,9,"synpuf",40482638,5201,3625
1,9,"synpuf",40482655,297,275
1,9,"synpuf",40483189,2789,1960
1,9,"synpuf",43533223,57,57
1,9,"synpuf",44829639,26714,20153
1,10,"synpuf",134898,7989,5996
1,10,"synpuf",44821782,7989,5996
1,11,"synpuf",316137,535,525
1,11,"synpuf",319054,674,644
1,11,"synpuf",433218,750,686
1,11,"synpuf",435031,-5,-5
1,11,"synpuf",435331,-5,-5
1,11,"synpuf",435835,374,351
1,11,"synpuf",435887,29,21
1,11,"synpuf",438820,19,13
1,11,"synpuf",441649,-5,-5
1,11,"synpuf",442058,-5,-5
1,11,"synpuf",444055,1508,1290
1,11,"synpuf",2108550,847,757
1,11,"synpuf",2108583,85,83
1,11,"synpuf",2211982,-5,-5
1,11,"synpuf",2212700,207,207
1,11,"synpuf",2617333,110,110
1,11,"synpuf",2617334,1107,858
1,11,"synpuf",2617335,501,483
1,11,"synpuf",4062264,5,5
1,11,"synpuf",4143293,-5,-5
1,11,"synpuf",4207615,1428,1256
1,11,"synpuf",4235812,-5,-5
1,11,"synpuf",44819731,666,648
1,11,"synpuf",44819732,501,498
1,11,"synpuf",44819920,9,6
1,11,"synpuf",44821072,-5,-5
1,11,"synpuf",44821964,535,525
1,11,"synpuf",44821965,793,707
1,11,"synpuf",44821966,455,450
1,11,"synpuf",44823132,446,445
1,11,"synpuf",44824264,644,508
1,11,"synpuf",44824450,-5,-5
1,11,"synpuf",44825453,750,686
1,11,"synpuf",44825454,475,468
1,11,"synpuf",44826830,19,13
1,11,"synpuf",44827809,473,471
1,11,"synpuf",44827988,-5,-5
1,11,"synpuf",44828495,6074,5538
1,11,"synpuf",44828995,3146,2051
1,11,"synpuf",44830095,503,412
1,11,"synpuf",44830101,491,488
1,11,"synpuf",44831441,-5,-5
1,11,"synpuf",44831442,-5,-5
1,11,"synpuf",44831443,5,5
1,11,"synpuf",44832401,782,700
1,11,"synpuf",44832404,702,658
1,11,"synpuf",44832581,20,15
1,11,"synpuf",44833053,733,707
1,11,"synpuf",44833588,638,617
1,11,"synpuf",44833589,471,466
1,11,"synpuf",44834747,304,261
1,11,"synpuf",44834751,1508,1290
1,11,"synpuf",44834755,490,486
1,11,"synpuf",44835962,573,546
1,11,"synpuf",44835963,508,504
1,11,"synpuf",44836132,-5,-5
1,11,"synpuf",44836133,-5,-5
1,11,"synpuf",44837122,674,644
1,12,"synpuf",432388,-5,-5
1,12,"synpuf",433545,-5,-5
1,12,"synpuf",433832,-5,-5
1,12,"synpuf",434112,-5,-5
1,12,"synpuf",435026,35,22
1,12,"synpuf",437948,-5,-5
1,12,"synpuf",442053,11,5
1,12,"synpuf",442054,-5,-5
1,12,"synpuf",442055,-5,-5
1,12,"synpuf",442420,-5,-5
1,12,"synpuf",40479606,843,829
1,12,"synpuf",44819705,843,829
1,12,"synpuf",44819707,887,843
1,12,"synpuf",44819923,-5,-5
1,12,"synpuf",44825636,-5,-5
1,12,"synpuf",44831446,6,6
1,12,"synpuf",44836137,24,11
1,13,"synpuf",2005902,455,454
1,13,"synpuf",2101634,973,951
1,13,"synpuf",2101635,165,164
1,13,"synpuf",2104939,69,69
1,13,"synpuf",2104940,75,74
1,14,"synpuf",2101660,2302,2222
1,14,"synpuf",2105128,88,88
1,14,"synpuf",2105129,119,119
1,14,"synpuf",2105191,-5,-5
1,15,"synpuf",443961,67941,17589
1,15,"synpuf",2213582,-5,-5
1,15,"synpuf",2213583,-5,-5
1,15,"synpuf",2213584,8,8
1,15,"synpuf",2213585,-5,-5
1,15,"synpuf",2213586,-5,-5
1,15,"synpuf",2213587,6303,2199
1,15,"synpuf",2213588,1815,1126
1,15,"synpuf",2213589,29,26
1,15,"synpuf",2213591,15,-5
1,15,"synpuf",2213592,9,9
1,15,"synpuf",2213593,15,13
1,15,"synpuf",2213595,17,6
1,15,"synpuf",2213596,7,6
1,15,"synpuf",2213597,818,432
1,15,"synpuf",2617395,3540,1048
1,15,"synpuf",2617396,44,41
1,15,"synpuf",2617397,312,258
1,15,"synpuf",2617398,-5,-5
1,15,"synpuf",2617399,-5,-5
1,15,"synpuf",2617400,-5,-5
1,15,"synpuf",2617401,399,321
1,15,"synpuf",2617402,-5,-5
1,15,"synpuf",2617403,8,8
1,15,"synpuf",2617404,12,-5
1,15,"synpuf",2617405,288,86
1,15,"synpuf",2617544,171,150
1,15,"synpuf",2617545,9,9
1,15,"synpuf",2617546,27,25
1,15,"synpuf",2617547,140,120
1,15,"synpuf",2617548,33,33
1,15,"synpuf",2617549,17,16
1,15,"synpuf",2617794,5,5
1,15,"synpuf",2617795,7,7
1,15,"synpuf",2617887,12,12
1,15,"synpuf",42738339,49,21
1,15,"synpuf",42738679,-5,-5
1,15,"synpuf",44819693,923,848
1,15,"synpuf",44820856,812,786
1,15,"synpuf",44821950,951,914
1,15,"synpuf",44824235,1005,962
1,15,"synpuf",44831231,3024,2455
1,15,"synpuf",44831232,756,745
1,15,"synpuf",44833560,1002,927
1,16,"synpuf",373057,-5,-5
1,16,"synpuf",432478,15,14
1,16,"synpuf",432764,11,10
1,16,"synpuf",433037,63,63
1,16,"synpuf",433052,18,16
1,16,"synpuf",433058,44,34
1,16,"synpuf",433623,14,14
1,16,"synpuf",433624,23,23
1,16,"synpuf",434166,76,76
1,16,"synpuf",434785,57,55
1,16,"synpuf",434789,86,67
1,16,"synpuf",435104,9,9
1,16,"synpuf",435378,66,66
1,16,"synpuf",435390,11,8
1,16,"synpuf",435672,17,17
1,16,"synpuf",435931,68,68
1,16,"synpuf",435959,431,360
1,16,"synpuf",435964,12,11
1,16,"synpuf",436526,67,67
1,16,"synpuf",436841,14,13
1,16,"synpuf",436842,25,16
1,16,"synpuf",437106,64,64
1,16,"synpuf",437413,16,16
1,16,"synpuf",438003,65,51
1,16,"synpuf",438596,27,26
1,16,"synpuf",438873,83,81
1,16,"synpuf",438894,7,7
1,16,"synpuf",439171,12,11
1,16,"synpuf",439182,14,11
1,16,"synpuf",439944,163,125
1,16,"synpuf",439950,17,17
1,16,"synpuf",440244,9,9
1,16,"synpuf",440250,5,5
1,16,"synpuf",440251,9,9
1,16,"synpuf",440537,77,77
1,16,"synpuf",440561,12,12
1,16,"synpuf",440869,160,119
1,16,"synpuf",441158,17,17
1,16,"synpuf",441709,7,7
1,16,"synpuf",444196,27,27
1,16,"synpuf",444198,28,28
1,16,"synpuf",2106371,1271,1137
1,16,"synpuf",2106382,527,519
1,16,"synpuf",42873157,625,451
1,16,"synpuf",44820079,10,5
1,16,"synpuf",44820080,6,6
1,16,"synpuf",44820081,8,8
1,16,"synpuf",44820086,13,13
1,16,"synpuf",44820112,16,8
1,16,"synpuf",44820113,12,12
1,16,"synpuf",44820159,163,125
1,16,"synpuf",44821266,10,10
1,16,"synpuf",44821274,9,9
1,16,"synpuf",44821275,14,14
1,16,"synpuf",44821279,18,9
1,16,"synpuf",44821282,10,5
1,16,"synpuf",44821321,160,119
1,16,"synpuf",44821322,25,16
1,16,"synpuf",44822327,6,6
1,16,"synpuf",44822336,30,15
1,16,"synpuf",44822343,8,-5
1,16,"synpuf",44822352,11,11
1,16,"synpuf",44822353,14,7
1,16,"synpuf",44822412,18,16
1,16,"synpuf",44822413,-5,-5
