cohort_id,concept_set_id,concept_id,database_id
1,4,21066037,synpuf
1,4,21066128,synpuf
1,4,21066129,synpuf
1,4,21066130,synpuf
1,4,21066131,synpuf
1,4,21066132,synpuf
1,4,21066133,synpuf
1,4,21066134,synpuf
1,4,21066135,synpuf
1,4,21066136,synpuf
1,4,21066137,synpuf
1,4,21066138,synpuf
1,4,21066139,synpuf
1,4,21066140,synpuf
1,4,21066141,synpuf
1,4,21066142,synpuf
1,4,21070582,synpuf
1,4,21070583,synpuf
1,4,21070584,synpuf
1,4,21070835,synpuf
1,4,21071147,synpuf
1,4,21071148,synpuf
1,4,21075970,synpuf
1,4,21075971,synpuf
1,4,21076065,synpuf
1,4,21076066,synpuf
1,4,21076067,synpuf
1,4,21076068,synpuf
1,4,21076069,synpuf
1,4,21076070,synpuf
1,4,21076071,synpuf
1,4,21076072,synpuf
1,4,21076074,synpuf
1,4,21076075,synpuf
1,4,21077698,synpuf
1,4,21079239,synpuf
1,4,21080281,synpuf
1,4,21080282,synpuf
1,4,21080826,synpuf
1,4,21085687,synpuf
1,4,21085688,synpuf
1,4,21085690,synpuf
1,4,21085782,synpuf
1,4,21085783,synpuf
1,4,21085784,synpuf
1,4,21085785,synpuf
1,4,21085786,synpuf
1,4,21085787,synpuf
1,4,21085788,synpuf
1,4,21085789,synpuf
1,4,21085790,synpuf
1,4,21085791,synpuf
1,4,21085792,synpuf
1,4,21085793,synpuf
1,4,21085794,synpuf
1,4,21089997,synpuf
1,4,21089998,synpuf
1,4,21090247,synpuf
1,4,21095457,synpuf
1,4,21095458,synpuf
1,4,21095531,synpuf
1,4,21095532,synpuf
1,4,21095533,synpuf
1,4,21095534,synpuf
1,4,21095535,synpuf
1,4,21095536,synpuf
1,4,21095537,synpuf
1,4,21095538,synpuf
1,4,21095539,synpuf
1,4,21095540,synpuf
1,4,21095541,synpuf
1,4,21095542,synpuf
1,4,21095543,synpuf
1,4,21095546,synpuf
1,4,21095547,synpuf
1,4,21098809,synpuf
1,4,21100177,synpuf
1,4,21100521,synpuf
1,4,21100522,synpuf
1,4,21105312,synpuf
1,4,21105413,synpuf
1,4,21105414,synpuf
1,4,21105415,synpuf
1,4,21105416,synpuf
1,4,21105417,synpuf
1,4,21105418,synpuf
1,4,21105419,synpuf
1,4,21105420,synpuf
1,4,21105421,synpuf
1,4,21105422,synpuf
1,4,21105423,synpuf
1,4,21105424,synpuf
1,4,21105425,synpuf
1,4,21105426,synpuf
1,4,21105427,synpuf
1,4,21105428,synpuf
1,4,21107065,synpuf
1,4,21107066,synpuf
1,4,21109716,synpuf
1,4,21109717,synpuf
1,4,21109985,synpuf
1,4,21110320,synpuf
1,4,21110321,synpuf
1,4,21115139,synpuf
1,4,21115140,synpuf
1,4,21115226,synpuf
1,4,21115227,synpuf
1,4,21115228,synpuf
1,4,21115229,synpuf
1,4,21115230,synpuf
1,4,21115231,synpuf
1,4,21115232,synpuf
1,4,21115233,synpuf
1,4,21115234,synpuf
1,4,21115235,synpuf
1,4,21115236,synpuf
1,4,21115237,synpuf
1,4,21115238,synpuf
1,4,21115239,synpuf
1,4,21115240,synpuf
1,4,21115241,synpuf
1,4,21115242,synpuf
1,4,21116819,synpuf
1,4,21116822,synpuf
1,4,21118373,synpuf
1,4,21118415,synpuf
1,4,21119453,synpuf
1,4,21119454,synpuf
1,4,21119455,synpuf
1,4,21119456,synpuf
1,4,21119734,synpuf
1,4,21119735,synpuf
1,4,21119736,synpuf
1,4,21119737,synpuf
1,4,21120045,synpuf
1,4,21124737,synpuf
1,4,21124738,synpuf
1,4,21124739,synpuf
1,4,21124829,synpuf
1,4,21124830,synpuf
1,4,21124831,synpuf
1,4,21124832,synpuf
1,4,21124833,synpuf
1,4,21124834,synpuf
1,4,21124835,synpuf
1,4,21124836,synpuf
1,4,21124837,synpuf
1,4,21124838,synpuf
1,4,21124839,synpuf
1,4,21124840,synpuf
1,4,21124841,synpuf
1,4,21124842,synpuf
1,4,21124843,synpuf
1,4,21124844,synpuf
1,4,21128184,synpuf
1,4,21129247,synpuf
1,4,21129248,synpuf
1,4,21129249,synpuf
1,4,21129250,synpuf
1,4,21129251,synpuf
1,4,21134663,synpuf
1,4,21134734,synpuf
1,4,21134735,synpuf
1,4,21134736,synpuf
1,4,21134737,synpuf
1,4,21134738,synpuf
1,4,21134739,synpuf
1,4,21134740,synpuf
1,4,21134741,synpuf
1,4,21134742,synpuf
1,4,21134744,synpuf
1,4,21134745,synpuf
1,4,21134746,synpuf
1,4,21134748,synpuf
1,4,21136441,synpuf
1,4,21139108,synpuf
1,4,21139109,synpuf
1,4,21139110,synpuf
1,4,21139111,synpuf
1,4,21139398,synpuf
1,4,21139734,synpuf
1,4,21143957,synpuf
1,4,21144550,synpuf
1,4,21144551,synpuf
1,4,21144636,synpuf
1,4,21144637,synpuf
1,4,21144638,synpuf
1,4,21144639,synpuf
1,4,21144640,synpuf
1,4,21144641,synpuf
1,4,21144642,synpuf
1,4,21144643,synpuf
1,4,21144644,synpuf
1,4,21144645,synpuf
1,4,21144646,synpuf
1,4,21144647,synpuf
1,4,21146300,synpuf
1,4,21146301,synpuf
1,4,21147899,synpuf
1,4,21148980,synpuf
1,4,21148981,synpuf
1,4,21149591,synpuf
1,4,21149592,synpuf
1,4,21153897,synpuf
1,4,21153898,synpuf
1,4,21154473,synpuf
1,4,21154474,synpuf
1,4,21154475,synpuf
1,4,21154476,synpuf
1,4,21154555,synpuf
1,4,21154557,synpuf
1,4,21154558,synpuf
1,4,21154559,synpuf
1,4,21154560,synpuf
1,4,21154561,synpuf
1,4,21154562,synpuf
1,4,21154563,synpuf
1,4,21154564,synpuf
1,4,21154565,synpuf
1,4,21154566,synpuf
1,4,21154567,synpuf
1,4,21154568,synpuf
1,4,21154569,synpuf
1,4,21154570,synpuf
1,4,21154571,synpuf
1,4,21154572,synpuf
1,4,21154573,synpuf
1,4,21154574,synpuf
1,4,21154575,synpuf
1,4,21154576,synpuf
1,4,21156284,synpuf
1,4,21158904,synpuf
1,4,21159172,synpuf
1,4,21159173,synpuf
1,4,21159531,synpuf
1,4,21159532,synpuf
1,4,21164292,synpuf
1,4,21164383,synpuf
1,4,21164385,synpuf
1,4,21164386,synpuf
1,4,21164387,synpuf
1,4,21164388,synpuf
1,4,21164389,synpuf
1,4,21164390,synpuf
1,4,21164391,synpuf
1,4,21164392,synpuf
1,4,21164393,synpuf
1,4,21164394,synpuf
1,4,21164395,synpuf
1,4,21166046,synpuf
1,4,21166047,synpuf
1,4,21167612,synpuf
1,4,21168985,synpuf
1,4,21168986,synpuf
1,4,21169295,synpuf
1,4,21174069,synpuf
1,4,21174163,synpuf
1,4,21174164,synpuf
1,4,21174165,synpuf
1,4,21174167,synpuf
1,4,21174168,synpuf
1,4,21174169,synpuf
1,4,21174170,synpuf
1,4,21174171,synpuf
1,4,21174172,synpuf
1,4,21174173,synpuf
1,4,21174174,synpuf
1,4,21174175,synpuf
1,4,21175783,synpuf
1,4,21175784,synpuf
1,4,21177359,synpuf
1,4,21177387,synpuf
1,4,35101823,synpuf
1,4,35129294,synpuf
1,4,35129571,synpuf
1,4,35130845,synpuf
1,4,35131134,synpuf
1,4,35131245,synpuf
1,4,35131957,synpuf
1,4,35132744,synpuf
1,4,35132771,synpuf
1,4,35133485,synpuf
1,4,35134327,synpuf
1,4,35135523,synpuf
1,4,35136477,synpuf
1,4,35137083,synpuf
1,4,35137111,synpuf
1,4,35137677,synpuf
1,4,35137859,synpuf
1,4,35138475,synpuf
1,4,35139479,synpuf
1,4,35140140,synpuf
1,4,35141149,synpuf
1,4,35143890,synpuf
1,4,35143966,synpuf
1,4,35144092,synpuf
1,4,35144287,synpuf
1,4,35144786,synpuf
1,4,35144911,synpuf
1,4,35145779,synpuf
1,4,35146532,synpuf
1,4,35148001,synpuf
1,4,35148041,synpuf
1,4,35148310,synpuf
1,4,35149320,synpuf
1,4,35149922,synpuf
1,4,35150076,synpuf
1,4,35151409,synpuf
1,4,35152522,synpuf
1,4,35154421,synpuf
1,4,35154617,synpuf
1,4,35155928,synpuf
1,4,35156958,synpuf
1,4,35158810,synpuf
1,4,35160702,synpuf
1,4,35160792,synpuf
1,4,35161139,synpuf
1,4,35161268,synpuf
1,4,35161956,synpuf
1,4,35200877,synpuf
1,4,35200878,synpuf
1,4,35200879,synpuf
1,4,35200880,synpuf
1,4,35407940,synpuf
1,4,35408628,synpuf
1,4,35606207,synpuf
1,4,35606208,synpuf
1,4,35606209,synpuf
1,4,35606210,synpuf
1,4,35742256,synpuf
1,4,35742478,synpuf
1,4,35742521,synpuf
1,4,35745967,synpuf
1,4,35746695,synpuf
1,4,35749175,synpuf
1,4,35749546,synpuf
1,4,35750851,synpuf
1,4,35750881,synpuf
1,4,35755064,synpuf
1,4,35755065,synpuf
1,4,35755066,synpuf
1,4,35755111,synpuf
1,4,35755112,synpuf
1,4,35757517,synpuf
1,4,35759191,synpuf
1,4,35759228,synpuf
1,4,35761678,synpuf
1,4,35762468,synpuf
1,4,35762469,synpuf
1,4,35763063,synpuf
1,4,35763388,synpuf
1,4,35763389,synpuf
1,4,35763390,synpuf
1,4,35765757,synpuf
1,4,35766771,synpuf
1,4,35767505,synpuf
1,4,35770083,synpuf
1,4,35771499,synpuf
1,4,35771842,synpuf
1,4,35771889,synpuf
1,4,35771890,synpuf
1,4,35774342,synpuf
1,4,35787839,synpuf
1,4,35787880,synpuf
1,4,35787929,synpuf
1,4,35787930,synpuf
1,4,35787962,synpuf
1,4,35787989,synpuf
1,4,35788175,synpuf
1,4,35788179,synpuf
1,4,35788191,synpuf
1,4,35788205,synpuf
1,4,35803596,synpuf
1,4,35803720,synpuf
1,4,35803721,synpuf
1,4,35804520,synpuf
1,4,35804562,synpuf
1,4,35805045,synpuf
1,4,35805338,synpuf
1,4,35805370,synpuf
1,4,35805683,synpuf
1,4,35805785,synpuf
1,4,35806051,synpuf
1,4,35806053,synpuf
1,4,35806054,synpuf
1,4,35806061,synpuf
1,4,35806259,synpuf
1,4,35806261,synpuf
1,4,35806268,synpuf
1,4,35806273,synpuf
1,4,35806274,synpuf
1,4,35806284,synpuf
1,4,35806285,synpuf
1,4,35806317,synpuf
1,4,35806332,synpuf
1,4,35806856,synpuf
1,4,35807094,synpuf
1,4,35807095,synpuf
1,4,35807100,synpuf
1,4,36215425,synpuf
1,4,36215426,synpuf
1,4,36221228,synpuf
1,4,36221229,synpuf
1,4,36223198,synpuf
1,4,36223747,synpuf
1,4,36223748,synpuf
1,4,36223749,synpuf
1,4,36227606,synpuf
1,4,36227607,synpuf
1,4,36229943,synpuf
1,4,36229944,synpuf
1,4,36232575,synpuf
1,4,36232576,synpuf
1,4,36237050,synpuf
1,4,36237051,synpuf
1,4,36237052,synpuf
1,4,36240420,synpuf
1,4,36240421,synpuf
1,4,36241103,synpuf
1,4,36241104,synpuf
1,4,36246293,synpuf
1,4,36246294,synpuf
1,4,36246295,synpuf
1,4,36246296,synpuf
1,4,36248613,synpuf
1,4,36248614,synpuf
1,4,36248615,synpuf
1,4,36249022,synpuf
1,4,36257285,synpuf
1,4,36261069,synpuf
1,4,36262346,synpuf
1,4,36263316,synpuf
1,4,36265872,synpuf
1,4,36267204,synpuf
1,4,36271479,synpuf
1,4,36272614,synpuf
1,4,36276630,synpuf
1,4,36419362,synpuf
1,4,36419363,synpuf
1,4,36503607,synpuf
1,4,36503995,synpuf
1,4,36504361,synpuf
1,4,36504950,synpuf
1,4,36504962,synpuf
1,4,36505664,synpuf
1,4,36505938,synpuf
1,4,36506548,synpuf
1,4,36507125,synpuf
1,4,36507155,synpuf
1,4,36507302,synpuf
1,4,36507519,synpuf
1,4,36507672,synpuf
1,4,36508370,synpuf
1,4,36509962,synpuf
1,4,36509969,synpuf
1,4,36510067,synpuf
1,4,36782242,synpuf
1,4,36782243,synpuf
1,4,36782244,synpuf
1,4,36782245,synpuf
1,4,36782246,synpuf
1,4,36783370,synpuf
1,4,36783417,synpuf
1,4,36783418,synpuf
1,4,36783419,synpuf
1,4,36783420,synpuf
1,4,36783421,synpuf
1,4,36787900,synpuf
1,4,36787901,synpuf
1,4,36787902,synpuf
1,4,36787903,synpuf
1,4,36787904,synpuf
1,4,36787905,synpuf
1,4,36787906,synpuf
1,4,36787907,synpuf
1,4,36787908,synpuf
1,4,36787909,synpuf
1,4,36787910,synpuf
1,4,36787911,synpuf
1,4,36787912,synpuf
1,4,36787913,synpuf
1,4,36787914,synpuf
1,4,36787915,synpuf
1,4,36787916,synpuf
1,4,36787917,synpuf
1,4,36787918,synpuf
1,4,36787919,synpuf
1,4,36787920,synpuf
1,4,36787921,synpuf
1,4,36787922,synpuf
1,4,36812492,synpuf
1,4,36812571,synpuf
1,4,40093130,synpuf
1,4,40093131,synpuf
1,4,40093132,synpuf
1,4,40093133,synpuf
1,4,40093134,synpuf
1,4,40121983,synpuf
1,4,40121984,synpuf
1,4,40163507,synpuf
1,4,40163508,synpuf
1,4,40163509,synpuf
1,4,40163510,synpuf
1,4,40163511,synpuf
1,4,40163512,synpuf
1,4,40163513,synpuf
1,4,40163514,synpuf
1,4,40163515,synpuf
1,4,40163516,synpuf
1,4,40163517,synpuf
1,4,40163518,synpuf
1,4,40163519,synpuf
1,4,40163520,synpuf
